genre_ids,id_x,original_language,original_title,popularity,vote_average,vote_count,title_clean,release_date,movie,production_budget,worldwide_gross,title,domestic_gross,foreign_gross
"[28, 18, 10749]",365452,en,A Rising Tide,2.736,6.3,12,a rising tide,2015-05-29,a rising tide,0.0,0.0,a rising tide,0.0,0.0
[27],432364,en,The Covenant,2.733,4.4,14,the covenant,2017-02-07,The Covenant,0.0,0.0,the covenant,0.0,0.0
"[18, 10770, 10749]",475829,en,The Mistletoe Inn,2.732,6.1,28,the mistletoe inn,2017-11-23,the mistletoe inn,0.0,0.0,the mistletoe inn,0.0,0.0
[18],455803,en,Pray for Rain,2.725,5.4,23,pray for rain,2017-06-16,pray for rain,0.0,0.0,pray for rain,0.0,0.0
"[9648, 10770]",446865,en,Hailey Dean Mystery: Deadly Estate,2.723,6.6,13,hailey dean mystery: deadly estate,2017-04-09,hailey dean mystery: deadly estate,0.0,0.0,hailey dean mystery: deadly estate,0.0,0.0
"[53, 27, 878]",434986,en,Replace,2.723,5.2,16,replace,2017-06-16,replace,0.0,0.0,replace,0.0,0.0
"[28, 53]",450519,en,The Fast and the Fierce,2.719,5.5,10,the fast and the fierce,2017-04-04,the fast and the fierce,0.0,0.0,the fast and the fierce,0.0,0.0
[18],356301,en,Across the Line,2.715,5.0,5,across the line,2017-08-01,across the line,0.0,0.0,across the line,0.0,0.0
[99],452235,en,Losing Sight of Shore,2.711,7.5,11,losing sight of shore,2017-04-23,losing sight of shore,0.0,0.0,losing sight of shore,0.0,0.0
"[18, 10770]",473896,en,"Signed, Sealed, Delivered: Home Again",2.711,5.5,8,"signed, sealed, delivered: home again",2017-09-24,"signed, sealed, delivered: home again",0.0,0.0,"signed, sealed, delivered: home again",0.0,0.0
"[27, 53]",400610,nl,Prooi,2.704,5.5,24,prey,2017-04-28,prey,0.0,0.0,prey,0.0,0.0
[10749],480638,en,The Perfect Christmas Present,2.701,6.5,33,the perfect christmas present,2017-11-04,the perfect christmas present,0.0,0.0,the perfect christmas present,0.0,0.0
[53],340488,en,Salt and Fire,2.699,4.7,31,salt and fire,2017-04-07,salt and fire,0.0,0.0,salt and fire,0.0,0.0
[9648],447685,en,The Green Fog,2.694,6.7,3,the green fog,2018-01-05,the green fog,0.0,0.0,the green fog,0.0,0.0
[35],438514,en,Sylvio,2.691,6.5,4,sylvio,2017-03-11,sylvio,0.0,0.0,sylvio,0.0,0.0
[18],381008,en,Claire in Motion,2.69,4.9,9,claire in motion,2017-01-13,claire in motion,0.0,0.0,claire in motion,0.0,0.0
"[28, 18, 27, 9648, 53]",391872,en,Child of Satan,2.683,1.7,11,child of satan,2018-03-06,child of satan,0.0,0.0,child of satan,0.0,0.0
"[18, 27, 53]",470390,en,The Atoning,2.682,4.8,17,the atoning,2017-02-18,the atoning,0.0,0.0,the atoning,0.0,0.0
"[35, 27]",434593,en,Devil's Domain,2.682,2.7,12,devil's domain,2017-05-19,devil's domain,0.0,0.0,devil's domain,0.0,0.0
"[53, 10770]",447023,en,The Wrong Student,2.679,3.5,4,the wrong student,2017-03-11,the wrong student,0.0,0.0,the wrong student,0.0,0.0
[99],438478,fr,Pornocratie: Les nouvelles multinationales du sexe,2.668,7.5,8,pornocracy: the new sex multinationals,2017-03-12,pornocracy: the new sex multinationals,0.0,0.0,pornocracy: the new sex multinationals,0.0,0.0
"[53, 27]",484586,en,The Body Tree,2.665,6.3,8,the body tree,2017-11-13,the body tree,0.0,0.0,the body tree,0.0,0.0
"[10749, 18, 10770]",453217,en,Home for Christmas Day,2.65,5.9,18,home for christmas day,2017-07-16,home for christmas day,0.0,0.0,home for christmas day,0.0,0.0
"[10770, 10749, 18]",474981,en,Christmas in the Air,2.643,6.1,19,christmas in the air,2017-11-05,christmas in the air,0.0,0.0,christmas in the air,0.0,0.0
"[18, 80, 53]",300672,en,Vincent N Roxxy,2.642,5.5,44,vincent n roxxy,2016-04-18,vincent n roxxy,0.0,0.0,vincent n roxxy,0.0,0.0
"[10749, 18, 10402]",460437,en,Something Like Summer,2.641,6.0,26,something like summer,2017-02-25,something like summer,0.0,0.0,something like summer,0.0,0.0
"[28, 37]",466190,pt,O Matador,2.64,6.2,39,the killer,2017-11-10,the killer,0.0,0.0,the killer,0.0,0.0
"[9648, 80, 10770]",446864,en,Concrete Evidence: A Fixer Upper Mystery,2.638,6.3,11,concrete evidence: a fixer upper mystery,2017-04-02,concrete evidence: a fixer upper mystery,0.0,0.0,concrete evidence: a fixer upper mystery,0.0,0.0
[],458621,en,Nickelodeon's Sizzling Summer Camp Special,2.631,4.9,19,nickelodeon's sizzling summer camp special,2017-06-04,nickelodeon's sizzling summer camp special,0.0,0.0,nickelodeon's sizzling summer camp special,0.0,0.0
"[35, 18]",390407,en,Little Boxes,2.63,6.6,26,little boxes,2017-04-14,little boxes,0.0,0.0,little boxes,0.0,0.0
"[10402, 16, 35]",444341,en,Gone Fishing,2.628,7.0,10,gone fishing,2017-02-21,gone fishing,0.0,0.0,gone fishing,0.0,0.0
